Date,Open,High,Low,Close,Volume
2023-03-23,186.35910894016882,189.5015608393064,184.5492257457275,186.39889526367188,8685000
2023-03-24,185.4641094907646,189.26289907057387,185.05638314180445,189.00433349609375,6102700
2023-03-27,187.87066326240839,191.04294719361906,187.86072426893787,190.19766235351562,7776500
2023-03-28,190.11811362082065,191.7589580610109,190.11811362082065,191.23190307617188,4899000
2023-03-29,192.06723077871646,196.33339590831508,191.80868037432865,195.54779052734375,8085200
2023-03-30,196.67151039438946,197.0692825644388,194.40417564222997,195.5080108642578,6932500
2023-03-31,196.39307527776188,198.88912837623053,195.8958524568213,198.67034912109375,6634300
2023-04-03,197.11900723768474,197.8250551133298,194.44394615680747,195.39862060546875,5340800
2023-04-04,197.04939560710363,197.59634373866683,195.52789500641447,196.10467529296875,4659100
2023-04-05,196.9002196590644,197.18860219310076,192.6539328954649,194.22515869140625,3953700
2023-04-06,192.92244232229336,192.99206079635897,188.54688784439156,191.48049926757812,6304700
2023-04-10,189.5313814656251,191.48050149972468,188.22866016981956,190.4263916015625,5263800
2023-04-11,188.0098895085195,189.40212250329833,186.26960964557315,187.84083557128906,4907700
2023-04-12,189.24300051604874,190.8241653766195,188.47727315612298,189.2628936767578,5033400
2023-04-13,189.3921590070488,193.3003380544099,189.3921590070488,192.9423370361328,4716400
2023-04-14,190.78438178248115,194.08593306512216,190.12804408822134,193.56881713867188,5073800
2023-04-17,194.0760177252562,196.4229100786669,193.94673493437878,195.9853515625,5413500
2023-04-18,197.97424123366773,199.00845803001366,195.96545677791613,197.3974609375,4679000
2023-04-19,195.20966673775123,197.9642851915608,194.64282548421605,197.8151092529297,3665100
2023-04-20,196.0847797334741,198.96868113097472,195.72679387795947,196.41294860839844,3620000
2023-04-21,195.93562348794308,198.01401123645454,195.37873635667074,197.9245147705078,4860100
2023-04-24,197.3477176502854,197.66594751189842,192.9821022642634,193.8373260498047,4449700
2023-04-25,192.89262027261236,193.04178104765845,189.57117550660652,189.61094665527344,5010000
